Site_ID,Latitude,Longitude,Elevation_in_Meters,State,Species_ID,Genus,Species,Common_Name,Kingdom,Phenophase_ID,Phenophase_Description,First_Yes_Sample_Size,Mean_First_Yes_Year,Mean_First_Yes_DOY,Mean_First_Yes_Julian_Date,SE_First_Yes_In_Days,Min_First_Yes_DOY,Max_First_Yes_DOY,Median_First_Yes_DOY,Mean_NumDays_Since_Prior_No,SE_NumDays_Since_Prior_No,Last_Yes_Sample_Size,Mean_Last_Yes_Year,Mean_Last_Yes_DOY,Mean_Last_Yes_Julian_Date,SE_Last_Yes_in_Days,Mean_NumDays_Until_Next_No,SE_NumDays_Until_Next_No,Mean_AGDD
16610,37.991367,-122.132027,79,CA,1208,Malus,spp.,apple,Plantae,371,Breaking leaf buds,3,2014,148,2456806,6.1101009266078,136,156,152,10.333333333333,5.0442486501405,3,2014,155,2456813,1.3333333333333,6.6666666666667,1.3333333333333,2124.5833333333
16610,37.991367,-122.132027,79,CA,1208,Malus,spp.,apple,Plantae,390,Ripe fruits,1,2014,171,2456829,-9999.0,171,171,171,7.0,-9999.0,1,2014,227,2456885,-9999.0,4.0,-9999.0,2570.25
16610,37.991367,-122.132027,79,CA,1208,Malus,spp.,apple,Plantae,467,Early season leaf expansion,2,2014,173,2456831,24.0,149,197,173,9.0,4.0,3,2014,179,2456837,16.414763002994,7.3333333333333,2.9059326290271,2624.625
16610,37.991367,-122.132027,79,CA,1208,Malus,spp.,apple,Plantae,471,Falling leaves,3,2014,178,2456836,23.694818936731,152,225,156,9.3333333333333,5.3644923131437,3,2014,284,2456942,64.210591026715,6.3333333333333,1.6666666666667,2724.4166666667
16610,37.991367,-122.132027,79,CA,1208,Malus,spp.,apple,Plantae,498,Colored leaves,3,2014,181,2456839,13.89244398945,156,204,183,12.333333333333,4.3333333333333,2,2014,255,2456913,98.5,6.0,2.0,2776.0833333333
16610,37.991367,-122.132027,79,CA,1208,Malus,spp.,apple,Plantae,504,Recent fruit or seed drop,1,2014,152,2456810,-9999.0,152,152,152,3.0,-9999.0,1,2014,231,2456889,-9999.0,3.0,-9999.0,2197.75
16610,37.991367,-122.132027,79,CA,1208,Malus,spp.,apple,Plantae,516,Fruits,0,-9999,-9999,-9999,-9999.0,-9999,-9999,-9999,-9999.0,-9999.0,1,2014,227,2456885,-9999.0,4.0,-9999.0,-9999.0
17241,42.82711,-73.710182,81,NY,1208,Malus,spp.,apple,Plantae,371,Breaking leaf buds,1,2014,116,2456774,-9999.0,116,116,116,7.0,-9999.0,0,-9999,-9999,-9999,-9999.0,-9999.0,-9999.0,254.75
17241,42.82711,-73.710182,81,NY,1208,Malus,spp.,apple,Plantae,467,Early season leaf expansion,1,2014,131,2456789,-9999.0,131,131,131,8.0,-9999.0,0,-9999,-9999,-9999,-9999.0,-9999.0,-9999.0,429.75
17241,42.82711,-73.710182,81,NY,1208,Malus,spp.,apple,Plantae,500,Flowers or flower buds,1,2014,131,2456789,-9999.0,131,131,131,8.0,-9999.0,0,-9999,-9999,-9999,-9999.0,-9999.0,-9999.0,429.75
