Site_ID,Latitude,Longitude,Elevation_in_Meters,State,Species_ID,Genus,Species,Common_Name,Kingdom,Phenophase_ID,Phenophase_Description,First_Yes_Sample_Size,Mean_First_Yes_Year,Mean_First_Yes_DOY,Mean_First_Yes_Julian_Date,SE_First_Yes_In_Days,Min_First_Yes_DOY,Max_First_Yes_DOY,Median_First_Yes_DOY,Mean_NumDays_Since_Prior_No,SE_NumDays_Since_Prior_No,Last_Yes_Sample_Size,Mean_Last_Yes_Year,Mean_Last_Yes_DOY,Mean_Last_Yes_Julian_Date,SE_Last_Yes_in_Days,Mean_NumDays_Until_Next_No,SE_NumDays_Until_Next_No,Mean_AGDD
6432,37.799515,-122.412834,38,CA,96,Vitis,vinifera,wine grape,Plantae,371,Breaking leaf buds,1,2013,82,2456375,-9999.0,82,82,82,11.0,-9999.0,0,-9999,-9999,-9999,-9999.0,-9999.0,-9999.0,890.5
16271,40.863483,-73.880661,29,NY,96,Vitis,vinifera,wine grape,Plantae,371,Breaking leaf buds,1,2013,192,2456485,-9999.0,192,192,192,7.0,-9999.0,1,2013,192,2456485,-9999.0,7.0,-9999.0,2037.75
16271,40.863483,-73.880661,29,NY,96,Vitis,vinifera,wine grape,Plantae,390,Ripe fruits,1,2013,227,2456520,-9999.0,227,227,227,7.0,-9999.0,1,2013,241,2456534,-9999.0,7.0,-9999.0,2891.0
16271,40.863483,-73.880661,29,NY,96,Vitis,vinifera,wine grape,Plantae,471,Falling leaves,1,2013,276,2456569,-9999.0,276,276,276,7.0,-9999.0,1,2013,318,2456611,-9999.0,7.0,-9999.0,3892.75
16271,40.863483,-73.880661,29,NY,96,Vitis,vinifera,wine grape,Plantae,483,Leaves,0,-9999,-9999,-9999,-9999.0,-9999,-9999,-9999,-9999.0,-9999.0,1,2013,318,2456611,-9999.0,7.0,-9999.0,-9999.0
16271,40.863483,-73.880661,29,NY,96,Vitis,vinifera,wine grape,Plantae,498,Colored leaves,1,2013,241,2456534,-9999.0,241,241,241,7.0,-9999.0,1,2013,318,2456611,-9999.0,7.0,-9999.0,3214.75
16271,40.863483,-73.880661,29,NY,96,Vitis,vinifera,wine grape,Plantae,500,Flowers or flower buds,1,2013,136,2456429,-9999.0,136,136,136,15.0,-9999.0,1,2013,136,2456429,-9999.0,6.0,-9999.0,809.0
16271,40.863483,-73.880661,29,NY,96,Vitis,vinifera,wine grape,Plantae,501,Open flowers,1,2013,136,2456429,-9999.0,136,136,136,15.0,-9999.0,1,2013,136,2456429,-9999.0,6.0,-9999.0,809.0
16271,40.863483,-73.880661,29,NY,96,Vitis,vinifera,wine grape,Plantae,504,Recent fruit or seed drop,1,2013,241,2456534,-9999.0,241,241,241,7.0,-9999.0,1,2013,241,2456534,-9999.0,7.0,-9999.0,3214.75
16271,40.863483,-73.880661,29,NY,96,Vitis,vinifera,wine grape,Plantae,516,Fruits,1,2013,150,2456443,-9999.0,150,150,150,8.0,-9999.0,1,2013,241,2456534,-9999.0,7.0,-9999.0,1055.75
2625,42.488136,-123.393532,380,OR,96,Vitis,vinifera,wine grape,Plantae,371,Breaking leaf buds,1,2014,85,2456743,-9999.0,85,85,85,14.0,-9999.0,1,2014,111,2456769,-9999.0,6.0,-9999.0,682.0
2625,42.488136,-123.393532,380,OR,96,Vitis,vinifera,wine grape,Plantae,467,Early season leaf expansion,1,2014,111,2456769,-9999.0,111,111,111,15.0,-9999.0,0,-9999,-9999,-9999,-9999.0,-9999.0,-9999.0,980.75
2625,42.488136,-123.393532,380,OR,96,Vitis,vinifera,wine grape,Plantae,483,Leaves,1,2014,111,2456769,-9999.0,111,111,111,15.0,-9999.0,0,-9999,-9999,-9999,-9999.0,-9999.0,-9999.0,980.75
2625,42.488136,-123.393532,380,OR,96,Vitis,vinifera,wine grape,Plantae,500,Flowers or flower buds,1,2014,111,2456769,-9999.0,111,111,111,15.0,-9999.0,0,-9999,-9999,-9999,-9999.0,-9999.0,-9999.0,980.75
16610,37.991367,-122.132027,79,CA,96,Vitis,vinifera,wine grape,Plantae,371,Breaking leaf buds,3,2014,149,2456807,0.0,149,149,149,13.0,0.0,3,2014,155,2456813,1.3333333333333,6.6666666666667,1.3333333333333,2144.75
16610,37.991367,-122.132027,79,CA,96,Vitis,vinifera,wine grape,Plantae,390,Ripe fruits,3,2014,188,2456846,4.6666666666667,183,197,183,9.6666666666667,2.3333333333333,3,2014,349,2457007,4.3333333333333,6.3333333333333,1.2018504251547,2911.0
16610,37.991367,-122.132027,79,CA,96,Vitis,vinifera,wine grape,Plantae,467,Early season leaf expansion,0,-9999,-9999,-9999,-9999.0,-9999,-9999,-9999,-9999.0,-9999.0,3,2014,159,2456817,2.6666666666667,7.6666666666667,0.33333333333333,-9999.0
16610,37.991367,-122.132027,79,CA,96,Vitis,vinifera,wine grape,Plantae,471,Falling leaves,3,2014,183,2456841,0.0,183,183,183,12.0,0.0,3,2014,349,2457007,4.3333333333333,6.3333333333333,1.2018504251547,2814.25
16610,37.991367,-122.132027,79,CA,96,Vitis,vinifera,wine grape,Plantae,483,Leaves,1,2014,171,2456829,-9999.0,171,171,171,7.0,-9999.0,3,2014,342,2457000,4.0414518843274,5.0,1.0,2570.25
16610,37.991367,-122.132027,79,CA,96,Vitis,vinifera,wine grape,Plantae,498,Colored leaves,3,2014,175,2456833,4.0,171,183,171,8.6666666666667,1.6666666666667,3,2014,342,2457000,4.0414518843274,5.0,1.0,2651.5833333333
16610,37.991367,-122.132027,79,CA,96,Vitis,vinifera,wine grape,Plantae,500,Flowers or flower buds,2,2014,152,2456810,0.0,152,152,152,3.0,0.0,3,2014,176,2456834,32.001736064019,8.6666666666667,2.6034165586356,2197.75
16610,37.991367,-122.132027,79,CA,96,Vitis,vinifera,wine grape,Plantae,501,Open flowers,3,2014,141,2456799,5.3333333333333,136,152,136,6.3333333333333,1.6666666666667,3,2014,147,2456805,5.3333333333333,7.0,3.0,2002.9166666667
16610,37.991367,-122.132027,79,CA,96,Vitis,vinifera,wine grape,Plantae,504,Recent fruit or seed drop,3,2014,220,2456878,8.1853527718725,204,231,225,4.6666666666667,0.33333333333333,3,2014,270,2456928,34.743504588788,5.0,2.0,3591.5833333333
16610,37.991367,-122.132027,79,CA,96,Vitis,vinifera,wine grape,Plantae,516,Fruits,3,2014,149,2456807,0.0,149,149,149,13.0,0.0,3,2014,349,2457007,4.3333333333333,6.3333333333333,1.2018504251547,2144.75
17574,40.863052,-73.881592,30,NY,96,Vitis,vinifera,wine grape,Plantae,371,Breaking leaf buds,1,2014,121,2456779,-9999.0,121,121,121,7.0,-9999.0,0,-9999,-9999,-9999,-9999.0,-9999.0,-9999.0,500.75
17574,40.863052,-73.881592,30,NY,96,Vitis,vinifera,wine grape,Plantae,483,Leaves,1,2014,127,2456785,-9999.0,127,127,127,6.0,-9999.0,0,-9999,-9999,-9999,-9999.0,-9999.0,-9999.0,591.0
17574,40.863052,-73.881592,30,NY,96,Vitis,vinifera,wine grape,Plantae,500,Flowers or flower buds,1,2014,149,2456807,-9999.0,149,149,149,8.0,-9999.0,1,2014,169,2456827,-9999.0,8.0,-9999.0,979.5
17574,40.863052,-73.881592,30,NY,96,Vitis,vinifera,wine grape,Plantae,516,Fruits,1,2014,169,2456827,-9999.0,169,169,169,14.0,-9999.0,0,-9999,-9999,-9999,-9999.0,-9999.0,-9999.0,1395.0
16610,37.991367,-122.132027,79,CA,96,Vitis,vinifera,wine grape,Plantae,371,Breaking leaf buds,3,2015,68,2457091,0.0,68,68,68,6.0,0.0,3,2015,257,2457280,0.0,4.0,0.0,846.5
16610,37.991367,-122.132027,79,CA,96,Vitis,vinifera,wine grape,Plantae,390,Ripe fruits,3,2015,150,2457173,68.705490642629,13,223,215,3.6666666666667,0.33333333333333,2,2015,245,2457268,30.0,3.0,1.0,2450.4166666667
16610,37.991367,-122.132027,79,CA,96,Vitis,vinifera,wine grape,Plantae,467,Early season leaf expansion,3,2015,168,2457191,9.6666666666667,149,178,178,4.3333333333333,0.66666666666667,3,2015,259,2457282,4.3333333333333,3.6666666666667,1.6666666666667,2521.75
16610,37.991367,-122.132027,79,CA,96,Vitis,vinifera,wine grape,Plantae,471,Falling leaves,3,2015,173,2457196,0.0,173,173,173,7.0,0.0,3,2015,260,2457283,2.6666666666667,3.6666666666667,0.33333333333333,2606.75
16610,37.991367,-122.132027,79,CA,96,Vitis,vinifera,wine grape,Plantae,498,Colored leaves,3,2015,166,2457189,3.6666666666667,162,173,162,7.0,0.0,3,2015,180,2457203,7.0,5.6666666666667,0.66666666666667,2458.75
16610,37.991367,-122.132027,79,CA,96,Vitis,vinifera,wine grape,Plantae,500,Flowers or flower buds,3,2015,156,2457179,19.220937657785,118,178,173,5.3333333333333,0.8819171036882,3,2015,192,2457215,10.170764201595,5.0,2.0,2321.0833333333
16610,37.991367,-122.132027,79,CA,96,Vitis,vinifera,wine grape,Plantae,501,Open flowers,3,2015,124,2457147,3.7564758898615,118,131,124,4.3333333333333,0.8819171036882,3,2015,192,2457215,10.170764201595,5.0,2.0,1746.1666666667
16610,37.991367,-122.132027,79,CA,96,Vitis,vinifera,wine grape,Plantae,504,Recent fruit or seed drop,3,2015,149,2457172,55.113015200082,40,219,187,4.6666666666667,2.185812841434,3,2015,193,2457216,76.720995243226,5.0,1.5275252316519,2331.5
16610,37.991367,-122.132027,79,CA,96,Vitis,vinifera,wine grape,Plantae,516,Fruits,3,2015,88,2457111,38.298534929913,13,138,114,5.0,1.0,2,2015,144,2457167,29.5,4.5,0.5,1218.1666666667
