Site_ID,Latitude,Longitude,Elevation_in_Meters,State,Species_ID,Genus,Species,Common_Name,Kingdom,Phenophase_ID,Phenophase_Description,First_Yes_Sample_Size,Mean_First_Yes_Year,Mean_First_Yes_DOY,Mean_First_Yes_Julian_Date,SE_First_Yes_In_Days,Min_First_Yes_DOY,Max_First_Yes_DOY,Median_First_Yes_DOY,Mean_NumDays_Since_Prior_No,SE_NumDays_Since_Prior_No,Last_Yes_Sample_Size,Mean_Last_Yes_Year,Mean_Last_Yes_DOY,Mean_Last_Yes_Julian_Date,SE_Last_Yes_in_Days,Mean_NumDays_Until_Next_No,SE_NumDays_Until_Next_No,Mean_AGDD
637,44.34095,-72.46122,266,VT,88,Prunus,persica,peach,Plantae,180,>=75% of full leaf size (deciduous),1,2010,150,2455347,-9999.0,150,150,150,7.0,-9999.0,0,-9999,-9999,-9999,-9999.0,-9999.0,-9999.0,778.0
637,44.34095,-72.46122,266,VT,88,Prunus,persica,peach,Plantae,371,Breaking leaf buds,1,2010,122,2455319,-9999.0,122,122,122,8.0,-9999.0,0,-9999,-9999,-9999,-9999.0,-9999.0,-9999.0,383.75
637,44.34095,-72.46122,266,VT,88,Prunus,persica,peach,Plantae,483,Leaves,1,2010,122,2455319,-9999.0,122,122,122,8.0,-9999.0,0,-9999,-9999,-9999,-9999.0,-9999.0,-9999.0,383.75
2779,38.193707,-95.071747,301,KS,88,Prunus,persica,peach,Plantae,371,Breaking leaf buds,1,2010,102,2455299,-9999.0,102,102,102,6.0,-9999.0,1,2010,102,2455299,-9999.0,2.0,-9999.0,463.0
2779,38.193707,-95.071747,301,KS,88,Prunus,persica,peach,Plantae,483,Leaves,1,2010,104,2455301,-9999.0,104,104,104,2.0,-9999.0,0,-9999,-9999,-9999,-9999.0,-9999.0,-9999.0,502.5
3,35.879211,-84.172203,296,TN,88,Prunus,persica,peach,Plantae,371,Breaking leaf buds,2,2011,74,2455636,2.0,72,76,74,3.0,1.0,2,2011,76,2455638,0.0,9.0,0.0,417.125
3,35.879211,-84.172203,296,TN,88,Prunus,persica,peach,Plantae,483,Leaves,2,2011,74,2455636,2.0,72,76,74,3.0,1.0,0,-9999,-9999,-9999,-9999.0,-9999.0,-9999.0,417.125
3,35.879211,-84.172203,296,TN,88,Prunus,persica,peach,Plantae,501,Open flowers,2,2011,76,2455638,0.0,76,76,76,4.0,0.0,0,-9999,-9999,-9999,-9999.0,-9999.0,-9999.0,439.5
1391,31.715519,-82.937538,93,GA,88,Prunus,persica,peach,Plantae,180,>=75% of full leaf size (deciduous),1,2011,77,2455639,-9999.0,77,77,77,7.0,-9999.0,0,-9999,-9999,-9999,-9999.0,-9999.0,-9999.0,774.0
1391,31.715519,-82.937538,93,GA,88,Prunus,persica,peach,Plantae,186,Full flowering (50%),0,-9999,-9999,-9999,-9999.0,-9999,-9999,-9999,-9999.0,-9999.0,1,2011,70,2455632,-9999.0,7.0,-9999.0,-9999.0
1391,31.715519,-82.937538,93,GA,88,Prunus,persica,peach,Plantae,371,Breaking leaf buds,0,-9999,-9999,-9999,-9999.0,-9999,-9999,-9999,-9999.0,-9999.0,1,2011,77,2455639,-9999.0,7.0,-9999.0,-9999.0
1391,31.715519,-82.937538,93,GA,88,Prunus,persica,peach,Plantae,471,Falling leaves,1,2011,343,2455905,-9999.0,343,343,343,21.0,-9999.0,0,-9999,-9999,-9999,-9999.0,-9999.0,-9999.0,6691.0
1391,31.715519,-82.937538,93,GA,88,Prunus,persica,peach,Plantae,498,Colored leaves,1,2011,238,2455800,-9999.0,238,238,238,7.0,-9999.0,1,2011,350,2455912,-9999.0,7.0,-9999.0,4756.0
