Site_ID,Latitude,Longitude,Elevation_in_Meters,State,Species_ID,Genus,Species,Common_Name,Kingdom,Phenophase_ID,Phenophase_Description,First_Yes_Sample_Size,Mean_First_Yes_Year,Mean_First_Yes_DOY,Mean_First_Yes_Julian_Date,SE_First_Yes_In_Days,Min_First_Yes_DOY,Max_First_Yes_DOY,Median_First_Yes_DOY,Mean_NumDays_Since_Prior_No,SE_NumDays_Since_Prior_No,Last_Yes_Sample_Size,Mean_Last_Yes_Year,Mean_Last_Yes_DOY,Mean_Last_Yes_Julian_Date,SE_Last_Yes_in_Days,Mean_NumDays_Until_Next_No,SE_NumDays_Until_Next_No,Mean_AGDD
2,43.08535,-70.69133,15,ME,3,Acer,rubrum,red maple,Plantae,180,>=75% of full leaf size (deciduous),1,2010,130,2455327,-9999.0,130,130,130,5.0,-9999.0,0,-9999,-9999,-9999,-9999.0,-9999.0,-9999.0,641.75
2,43.08535,-70.69133,15,ME,3,Acer,rubrum,red maple,Plantae,181,>=50% of leaves colored (deciduous),1,2010,287,2455484,-9999.0,287,287,287,2.0,-9999.0,0,-9999,-9999,-9999,-9999.0,-9999.0,-9999.0,3616.75
2,43.08535,-70.69133,15,ME,3,Acer,rubrum,red maple,Plantae,182,All leaves colored (deciduous),1,2010,301,2455498,-9999.0,301,301,301,8.0,-9999.0,0,-9999,-9999,-9999,-9999.0,-9999.0,-9999.0,3750.0
2,43.08535,-70.69133,15,ME,3,Acer,rubrum,red maple,Plantae,183,>=50% of leaves fallen (deciduous),1,2010,301,2455498,-9999.0,301,301,301,8.0,-9999.0,0,-9999,-9999,-9999,-9999.0,-9999.0,-9999.0,3750.0
2,43.08535,-70.69133,15,ME,3,Acer,rubrum,red maple,Plantae,184,All leaves fallen (deciduous),1,2010,309,2455506,-9999.0,309,309,309,3.0,-9999.0,0,-9999,-9999,-9999,-9999.0,-9999.0,-9999.0,3805.0
2,43.08535,-70.69133,15,ME,3,Acer,rubrum,red maple,Plantae,186,Full flowering (50%),1,2010,92,2455289,-9999.0,92,92,92,8.0,-9999.0,1,2010,96,2455293,-9999.0,7.0,-9999.0,209.75
2,43.08535,-70.69133,15,ME,3,Acer,rubrum,red maple,Plantae,371,Breaking leaf buds,1,2010,96,2455293,-9999.0,96,96,96,4.0,-9999.0,1,2010,120,2455317,-9999.0,2.0,-9999.0,261.75
2,43.08535,-70.69133,15,ME,3,Acer,rubrum,red maple,Plantae,483,Leaves,1,2010,103,2455300,-9999.0,103,103,103,7.0,-9999.0,1,2010,306,2455503,-9999.0,3.0,-9999.0,337.75
2,43.08535,-70.69133,15,ME,3,Acer,rubrum,red maple,Plantae,501,Open flowers,1,2010,84,2455281,-9999.0,84,84,84,5.0,-9999.0,1,2010,110,2455307,-9999.0,5.0,-9999.0,164.75
374,38.059898,-87.641197,160,IN,3,Acer,rubrum,red maple,Plantae,180,>=75% of full leaf size (deciduous),1,2010,106,2455303,-9999.0,106,106,106,28.0,-9999.0,0,-9999,-9999,-9999,-9999.0,-9999.0,-9999.0,628.0
374,38.059898,-87.641197,160,IN,3,Acer,rubrum,red maple,Plantae,186,Full flowering (50%),1,2010,106,2455303,-9999.0,106,106,106,30.0,-9999.0,0,-9999,-9999,-9999,-9999.0,-9999.0,-9999.0,628.0
374,38.059898,-87.641197,160,IN,3,Acer,rubrum,red maple,Plantae,371,Breaking leaf buds,1,2010,106,2455303,-9999.0,106,106,106,28.0,-9999.0,0,-9999,-9999,-9999,-9999.0,-9999.0,-9999.0,628.0
374,38.059898,-87.641197,160,IN,3,Acer,rubrum,red maple,Plantae,483,Leaves,1,2010,106,2455303,-9999.0,106,106,106,28.0,-9999.0,0,-9999,-9999,-9999,-9999.0,-9999.0,-9999.0,628.0
374,38.059898,-87.641197,160,IN,3,Acer,rubrum,red maple,Plantae,501,Open flowers,1,2010,78,2455275,-9999.0,78,78,78,2.0,-9999.0,0,-9999,-9999,-9999,-9999.0,-9999.0,-9999.0,223.25
443,42.304653,-83.70118,277,MI,3,Acer,rubrum,red maple,Plantae,180,>=75% of full leaf size (deciduous),1,2010,121,2455318,-9999.0,121,121,121,4.0,-9999.0,1,2010,304,2455501,-9999.0,1.0,-9999.0,499.25
443,42.304653,-83.70118,277,MI,3,Acer,rubrum,red maple,Plantae,181,>=50% of leaves colored (deciduous),1,2010,290,2455487,-9999.0,290,290,290,2.0,-9999.0,1,2010,304,2455501,-9999.0,1.0,-9999.0,3738.0
443,42.304653,-83.70118,277,MI,3,Acer,rubrum,red maple,Plantae,182,All leaves colored (deciduous),1,2010,294,2455491,-9999.0,294,294,294,4.0,-9999.0,1,2010,304,2455501,-9999.0,1.0,-9999.0,3774.25
443,42.304653,-83.70118,277,MI,3,Acer,rubrum,red maple,Plantae,183,>=50% of leaves fallen (deciduous),1,2010,299,2455496,-9999.0,299,299,299,1.0,-9999.0,1,2010,304,2455501,-9999.0,1.0,-9999.0,3841.0
443,42.304653,-83.70118,277,MI,3,Acer,rubrum,red maple,Plantae,184,All leaves fallen (deciduous),1,2010,305,2455502,-9999.0,305,305,305,1.0,-9999.0,0,-9999,-9999,-9999,-9999.0,-9999.0,-9999.0,3892.0
443,42.304653,-83.70118,277,MI,3,Acer,rubrum,red maple,Plantae,186,Full flowering (50%),1,2010,90,2455287,-9999.0,90,90,90,1.0,-9999.0,1,2010,106,2455303,-9999.0,3.0,-9999.0,149.25
